title,price,image_url
 Ritebrand Salad Cream 760g, R19.99,https://www.shoprite.co.za/medias/10131034EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w1NjYxNnxpbWFnZS9wbmd8aW1hZ2VzL2gyNS9oYzIvODk2NzQxMTMwMjQzMC5wbmd8MzRhOWY0ZTk2YmRiMWRmZjJjYjAxOTM2ZGIxYzk4NTAzMDEwNjRlMGZmOGYxZDY5ZjYxYzhiZjY1NmFiNGY1Nw
 Ritebrand Mayonnaise 750g, R19.99,https://www.shoprite.co.za/medias/10141784EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w2Mjk0MXxpbWFnZS9wbmd8aW1hZ2VzL2g2Yy9oZGIvODk2NzY0NzgyMTg1NC5wbmd8YjQ1NWMyOTUyMjQzYWU5MWU4MjkyZDQ0OTdiZDc2ZGM4N2RlMmNkYjc3NGJiOWEwYWE4YTNkOTQ1NDZjYzEyMw
 MTN Bonanza Multi-Sim Starter Pack, R3.49,https://www.shoprite.co.za/medias/10702709EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w4MTEwNnxpbWFnZS9wbmd8aW1hZ2VzL2hkNy9oZTcvOTAwMzE5ODExOTk2Ni5wbmd8MmRjZDRiODM2ZWI1MjEzNWMyMzAzODRlMzZjYTUyZGUyYWU4MjdjMzQ5MTJhM2FlY2MzOGExMmVhNTRiN2JlYw
 MTN Pay As You Go Starter Pack, R3.49,https://www.shoprite.co.za/medias/10261279EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w3MDk1MnxpbWFnZS9wbmd8aW1hZ2VzL2g1Yi9oZGYvODk4NjM2MDI4MzE2Ni5wbmd8Yzc4N2Q4MTMxMjAyNGE2ZGUyYWRlYzYzZjA1MWMzMWFlYzk1N2MwZTRjMjgxYTI3MTJiZDgyMjcyYzdmOWNkNg
 The Kitchen Beef & Vegetable Flavoured Instant Soup 3 Pack 80g, R14.99,https://www.shoprite.co.za/medias/10687197EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxMzE0MTl8aW1hZ2UvcG5nfGltYWdlcy9oNWQvaGMxLzg5NDQyNzI0NzQxNDIucG5nfDA4NGZlMjlmZTQwYjZhMGJiOTlhOGYyOTM1NTlmMDMyNDI5NTc3MmRkODAwZjMyYmQ4NmU2MzI4MGViNjUxYzA
 Revlon Aquamarine Peach Conditioner 400ml, R18.99,https://www.shoprite.co.za/medias/10710780EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzNTI1MnxpbWFnZS9wbmd8aW1hZ2VzL2g1Zi9oOGUvODk2MzkzNTQzNjgzMC5wbmd8MWU5MjY3NWY2NGI4MzUxMTZiNzkxMWQ5MjZhZjE3MjA3OWEwNzEzNDEyNWVkODY3NjE2ZGQyZThlNWY5YTgwMA
 Revlon Aquamarine Raspberry Shampoo 400ml, R18.99,https://www.shoprite.co.za/medias/10710774EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzNzk0N3xpbWFnZS9wbmd8aW1hZ2VzL2g2Yy9oNjAvODk2MzkzNjYxNjQ3OC5wbmd8YWU3MzJmNjkyZjFkY2QwY2IzZGY1MTg0YjA3YjdlMjU0YmU5ZWU2YjBiYTc2N2MzZDQxZTRkY2I4NmJiYThkYQ
 Revlon Aquamarine Peach Shampoo 400ml, R18.99,https://www.shoprite.co.za/medias/10710773EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzNzQ2N3xpbWFnZS9wbmd8aW1hZ2VzL2hkYS9oNTUvODk2MzkzOTQzNDUyNi5wbmd8M2I5OGE0NTkwZjA4ZGU1MDJhNWZkNTZkYWVhZDFhODViNDFmYjcwMzEyYTRmYzRkZWFmNzg1OGMzYjI3YzRjZg
 Revlon Aquamarine Green Apple Shampoo 400ml, R18.99,https://www.shoprite.co.za/medias/10710775EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzNjQ3M3xpbWFnZS9wbmd8aW1hZ2VzL2g0Ny9oYzEvODk2Mzk0MTQwMDYwNi5wbmd8Zjk1MmZhNjQ4MDA4ZTMwNjA2MzM2OWQwMTA1ZWE5NzMyYzc0MWZlN2Q1NmEzNzViYzZmYTc0YjJjMDdhNTE1NA
 Revlon Aquamarine Fresh Herb Shampoo 400ml, R18.99,https://www.shoprite.co.za/medias/10710776EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzOTc2MnxpbWFnZS9wbmd8aW1hZ2VzL2gxOC9oMWIvODk2Mzk0MjQ0OTE4Mi5wbmd8OTVmYTE4NjkxOWY4ZDY5NDEzNjc4YTI2ZDFlN2M2ZjFiZTE0MDk4MDgyY2JjM2ZlOGY3Yzc2MzU3YzhkYmY0YQ
 Revlon Aquamarine Raspberry Conditioner 400ml, R18.99,https://www.shoprite.co.za/medias/10710781EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzNTgxMHxpbWFnZS9wbmd8aW1hZ2VzL2hkMC9oMTUvODk2MzkzNzY2NTA1NC5wbmd8ZDNmZGRmNjg5MjYzMDE1Y2U4NWM5M2YxMmYyN2YwMGQ5ZTU3OWI4MmMwOTA2ZmI2NGQ4MDhlMjk1ZTQ1NTQ4OA
 Revlon Aquamarine Green Apple Conditioner 400ml, R18.99,https://www.shoprite.co.za/medias/10710782EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzMzQyNnxpbWFnZS9wbmd8aW1hZ2VzL2g2My9oYzYvODk2Mzk0MDQ4MzEwMi5wbmd8ZWEzNWU3NWE5YzljNTY3NmFhNWE1OGRjNjIyNGU1ODk5MzNlNTkzNGFlYWZiOGQ2MTJhMWUwYjc1YTZmYjIyYw
